,auc,prauc,sensitivity,specificity,precision,f1,support,species,tss,fold,subset,postprocessing
504,0.8846568774348217,0.16486640199239835,0.7,0.8549595445010488,0.9989495798319328,0.9213628290004844,10.0,Solidago.gigantea,0.5549595445010489,1,train,opth
505,0.9100985773998529,0.2517882040875901,0.8676470588235294,0.7959743824336688,0.9965635738831615,0.8850457782299085,68.0,Solidago.virgaurea,0.6636214412571984,1,train,opth
506,0.862334099914106,0.1805670038284746,0.7727272727272727,0.7817738494361475,0.9941860465116279,0.8752772564408804,66.0,Stachys.officinalis,0.5545011221634202,1,train,opth
507,0.9121447235109049,0.22931029819157786,0.8947368421052632,0.7534954407294833,0.9975855130784709,0.8585281385281385,57.0,Stachys.pradica,0.6482322828347464,1,train,opth
508,0.8615130121239438,0.3383427086141943,0.7349397590361446,0.8041496384784659,0.9830899308224442,0.8846619401694622,166.0,Stachys.recta,0.5390893975146105,1,train,opth
509,0.9059957924263675,0.2367294515520096,0.8695652173913043,0.7926267281105991,0.9953703703703703,0.8825038481272447,92.0,Stellaria.graminea,0.6621919455019034,1,train,opth
510,0.9775207770101132,0.22881184054201184,0.8888888888888888,0.9453289276058876,0.9993648777389648,0.9715961716579191,18.0,Stipa.capillata,0.8342178164947764,1,train,opth
511,0.9092947726569749,0.26802989408683064,0.8852459016393442,0.7647595861229458,0.9972222222222222,0.8656562177058216,61.0,Stipa.eriocaulis,0.6500054877622901,1,train,opth
512,0.85879911666159,0.12452643129728151,0.8125,0.7456594578129759,0.9951219512195122,0.8525161065645133,64.0,Succisa.pratensis,0.5581594578129758,1,train,opth
513,0.9046443180684426,0.12107687822818379,0.8333333333333334,0.7312181981442681,0.9995908346972177,0.8445980985306828,6.0,Symphytum.officinale,0.5645515314776015,1,train,opth
514,0.9005478818112651,0.2107499795186584,0.8974358974358975,0.731416335270725,0.9966652771988328,0.8436838390966831,78.0,Taraxacum.alpinum,0.6288522327066226,1,train,opth
515,0.8261626764788652,0.5170277447038004,0.8582089552238806,0.624332977588047,0.9584926269797924,0.7561395950021542,536.0,Taraxacum.officinale,0.4825419328119276,1,train,opth
516,0.9315047961630696,0.22486790259220588,0.8181818181818182,0.9136690647482014,0.999344262295082,0.9545881616035077,11.0,Tephroseris.integrifolia,0.7318508829300197,1,train,opth
517,0.8296717928233805,0.18552587838995402,0.5555555555555556,0.9895146794487717,0.998790444511642,0.9941309255079007,9.0,Teucrium.botrys,0.5450702350043273,1,train,opth
518,0.900244299674267,0.48486461381367363,0.8794788273615635,0.7805921052631579,0.9846473029045644,0.8708256880733944,307.0,Teucrium.chamaedrys,0.6600709326247214,1,train,opth
519,0.8562671426589399,0.2538529079625443,0.7155172413793104,0.8489631692974311,0.9881123919308358,0.9132678541701349,116.0,Teucrium.montanum,0.5644804106767416,1,train,opth
520,0.9695671776375112,0.41672207961004887,0.9,0.8993086865043582,0.9993319973279893,0.9466856510045879,20.0,Thalictrum.alpinum,0.7993086865043582,1,train,opth
521,0.8741552212775234,0.07132257386598999,0.7272727272727273,0.8108513189448441,0.9988921713441654,0.8951025810721377,11.0,Thalictrum.aquilegiifolium,0.5381240462175714,1,train,opth
522,0.885661179273923,0.18429770786663854,0.8490566037735849,0.7832422586520947,0.9969088098918083,0.8772526351581095,53.0,Thalictrum.minus,0.6322988624256798,1,train,opth
523,0.7258556790930892,0.16007842901124558,0.5454545454545454,0.8087529976019184,0.9981502034776175,0.8935254181155821,11.0,Thalictrum.simplex,0.35420754305646396,1,train,opth
524,0.836087035030697,0.1774842028079388,0.7323943661971831,0.775946275946276,0.9925810230378759,0.8709953743361316,71.0,Thesium.alpinum,0.5083406421434591,1,train,opth
525,0.9008742839915587,0.10044409830054499,0.8333333333333334,0.8013264998492614,0.9981224183251971,0.8889632107023412,30.0,Thesium.linophyllon,0.6346598331825948,1,train,opth
526,0.8816342990890689,0.08927037692484227,0.9473684210526315,0.7409855769230769,0.9995946493717065,0.8510785159620362,19.0,Thesium.pyrenaicum,0.6883539979757085,1,train,opth
527,0.7871930218628331,0.021583259201586248,0.75,0.6876310272536688,0.999129677980853,0.8146177044527231,8.0,Tofieldia.calyculata,0.43763102725366876,1,train,opth
