"","SR"
"CBNA_535613",31.75642857
"CBNA_538375",25.61204444
"CBNA_540022",27.6365754
"CBNA_551419",30.01589286
"CBNA_551432",29.62529841
"CBNA_551643",25.67052937
"CBNA_551691",25.96320238
"CBNA_551705",24.47368571
"CBNA_551714",24.21045317
"CBNA_551727",31.79248175
"CBNA_551728",30.45137619
"CBNA_551730",34.71383175
"CBNA_551731",27.64332063
"CBNA_551740",28.22110159
"CBNA_551741",29.25558571
"CBNA_556217",24.0467119
"CBNA_556248",27.02902937
"CBNA_556311",28.88494524
"CBNA_558261",30.24834127
"CBNA_558263",26.99020556
"CBNA_558270",25.58912143
"CBNA_558289",27.57106905
"CBNA_558290",28.19890079
"CBNA_558300",27.60852778
"CBNA_558310",27.72476587
"CBNA_558317",27.43441032
"CBNA_558319",31.51750238
"CBNA_558320",25.52009048
"CBNA_558328",27.08907222
"CBNA_558334",27.66140159
"CBNA_558340",25.97919762
"CBNA_558474",27.47750159
"CBNA_558791",28.55501111
"CBNA_558793",30.61964127
"CBNA_562041",24.36924921
"CBNA_563572",32.95853968
"CBNA_563583",32.34824603
"CBNA_563615",34.57929444
"CBNA_563617",31.86943016
"CBNA_563720",29.91084603
"CBNA_563800",29.42092937
"CBNA_563904",27.2690619
"CBNA_563931",30.90580952
"CBNA_564119",35.19956825
"CBNA_564472",28.62686984
"CBNA_565727",31.42366905
"CBNA_565924",28.29788254
"CBNA_566711",25.50952063
"CBNA_566727",24.80637857
"CBNA_566747",28.53289365
"CBNA_566753",30.07455079
"CBNA_566769",24.82095873
"CBNA_566826",25.3746119
"CBNA_570242",32.75126349
"CBNA_570244",23.74794841
"CBNA_570287",31.54305714
"CBNA_570298",27.62506905
"CBNA_570300",29.3790246
"CBNA_570306",27.18495794
"CBNA_570309",27.73616667
"CBNA_570312",33.04681825
"CBNA_570313",30.65449683
"CBNA_570338",26.18440556
"CBNA_570340",28.8127
"CBNA_570342",24.58345873
"CBNA_570354",29.72224762
"CBNA_570355",29.61910714
"CBNA_570358",27.6959746
"CBNA_570359",27.91745079
"CBNA_570360",24.61914444
"CBNA_570362",35.99396667
"CBNA_570365",31.12391032
"CBNA_570368",27.96369444
"CBNA_570369",29.63755635
"CBNA_570370",28.37443651
"CBNA_570371",35.9867381
"CBNA_570374",32.70730556
"CBNA_570376",23.3431373
"CBNA_570387",33.39401032
"CBNA_570389",29.53249127
"CBNA_570392",18.08768889
"CBNA_570398",33.64565397
"CBNA_570402",30.36071587
"CBNA_570403",27.30315794
"CBNA_570421",28.57460556
"CBNA_570425",32.26928095
